
                                Name                                           Version             Type   
  com.ibm.ws.org.eclipse.equinox.coordinator                        1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.eclipse.equinox.metatype                           1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.eclipse.equinox.region                             1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.glassfish.json.1.0                                 1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.jboss.jandex                                       1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.jboss.jdeparser.1.0.0                              1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.jboss.logging                                      1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.joda.time.1.6.2                                    1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.objectweb.asm                                      1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.slf4j.api                                          1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.slf4j.jdk14                                        1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.product.utility                                        1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.product.utility.productutil                            1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.recoverylog                                            1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.repository                                             1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.repository.liberty                                     1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.repository.parsers                                     1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.repository.resolver                                    1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.request.probes                                         1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.resource                                               1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.rest.handler.jakarta                                   1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.runtime.update                                         1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security                                               1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.audit.reader                                  1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.audit.reader.auditreader                      1.0.88.cl240420240408-2000     maven  
